"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"LEGISLATIVE DISTRICT 7 - State Representative Pos. 2","Joel Kretz","(Prefers Republican Party)",62615,74.86,"Legislative"
"LEGISLATIVE DISTRICT 7 - State Representative Pos. 2","JJ Wandler","(Prefers Independent Party)",20735,24.79,"Legislative"
"LEGISLATIVE DISTRICT 7 - State Representative Pos. 2","WRITE-IN"," ",288,0.34,"Legislative"
"LEGISLATIVE DISTRICT 8 - State Representative Pos. 1","Brad Klippert","(Prefers Republican Party)",51981,65.74,"Legislative"
"LEGISLATIVE DISTRICT 8 - State Representative Pos. 1","Shir Regev","(Prefers Democractic Party)",26979,34.12,"Legislative"
"LEGISLATIVE DISTRICT 8 - State Representative Pos. 1","WRITE-IN"," ",107,0.14,"Legislative"
"LEGISLATIVE DISTRICT 8 - State Representative Pos. 2","Matt Boehnke","(Prefers Republican Party)",59046,78.63,"Legislative"
"LEGISLATIVE DISTRICT 8 - State Representative Pos. 2","Larry Stanley","(Prefers The Alliance Party)",15452,20.58,"Legislative"
"LEGISLATIVE DISTRICT 8 - State Representative Pos. 2","WRITE-IN"," ",598,0.8,"Legislative"
"LEGISLATIVE DISTRICT 9 - State Senator","Mark G. Schoesler","(Prefers GOP Party)",43651,65.34,"Legislative"
"LEGISLATIVE DISTRICT 9 - State Senator","Jenn Goulet","(Prefers Democratic Party)",22802,34.13,"Legislative"
"LEGISLATIVE DISTRICT 9 - State Senator","WRITE-IN"," ",352,0.53,"Legislative"
"LEGISLATIVE DISTRICT 9 - State Representative Pos. 1","Mary Dye","(Prefers Republican Party)",48408,74.23,"Legislative"
"LEGISLATIVE DISTRICT 9 - State Representative Pos. 1","Brett Borden","(Prefers Libertarian Party)",16091,24.67,"Legislative"
"LEGISLATIVE DISTRICT 9 - State Representative Pos. 1","WRITE-IN"," ",716,1.1,"Legislative"
"LEGISLATIVE DISTRICT 9 - State Representative Pos. 2","Joe Schmick","(Prefers GOP Party)",53707,95.66,"Legislative"
"LEGISLATIVE DISTRICT 9 - State Representative Pos. 2","WRITE-IN"," ",2438,4.34,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Senator","Ron Muzzall","(Prefers Republican Party)",47189,50.9,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Senator","Helen Price Johnson","(Prefers Democratic Party)",45415,48.99,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Senator","WRITE-IN"," ",101,0.11,"Legislative"
"LEGISLATIVE DISTRICT 10 - State Representative Pos. 1","Greg Gilday","(Prefers GOP Party)",45768,50.38,"Legislative"
